dim_1,dim_2,dim_3,value
1,11,16,0
1,12,1,11825.4057029960149521
1,12,2,854537.4641838727984577
1,12,3,9255011.1997547335922718
1,12,4,42811697.4270782247185707
1,12,5,34321025.5269994586706161
1,12,6,8969320.0278052855283022
1,12,7,877178.3263028465444222
1,12,8,49211.1636206858529476
1,12,9,640.6741058473046451
1,12,10,29.9272553806973427
1,12,11,0.2412736448559083
1,12,12,0.0000482561671631
1,12,13,0.0000000209808676
1,12,14,0.0000000000000198
1,12,15,5.44222e-21
1,12,16,0
1,13,1,13.3554816710156921
1,13,2,1063.2235804432161785
1,13,3,13475.2399646487283462
1,13,4,103320.7772697240725392
1,13,5,77605.0100951652711956
1,13,6,28453.5744321979400411
1,13,7,2211.7813167728281769
1,13,8,61.7458392976881711
1,13,9,0.8732993630336779
1,13,10,0.0193829798945684
1,13,11,0.0001305185628733
1,13,12,0.0000028968183789
1,13,13,0.0000000001445719
1,13,14,0.0000000000000225
1,13,15,5.55648e-21
1,13,16,0
1,14,1,0.0019331703780942
1,14,2,0.1912945287716379
1,14,3,3.2159466903847922
1,14,4,16.5466909465093259
1,14,5,17.007861345855261
1,14,6,5.7261597055675733
1,14,7,0.5734892549575727
1,14,8,0.016039248411756
1,14,9,0.0003039937152456
1,14,10,0.0000041234450618
1,14,11,0.0000000203155863
1,14,12,0.0000000003591295
1,14,13,0.0000000000032006
1,14,14,5.25438e-17
1,14,15,5.63198e-21
1,14,16,0
1,15,1,0.0000001532939738
1,15,2,0.0000147548249956
1,15,3,0.000288860879363
1,15,4,0.0018723085666101
1,15,5,0.0015832515969231
1,15,6,0.0019876635481488
1,15,7,0.0001123302574081
1,15,8,0.0000015111965548
1,15,9,0.0000000281626861
1,15,10,0.0000000002526792
1,15,11,0.0000000000009222
1,15,12,0.0000000000000129
1,15,13,0.0000000000000001
1,15,14,7.99542e-19
1,15,15,4.35548e-24
1,15,16,0
1,16,1,0
1,16,2,0
1,16,3,0
1,16,4,0
1,16,5,0
1,16,6,0
1,16,7,0
1,16,8,0
1,16,9,0
1,16,10,0
1,16,11,0
1,16,12,0
1,16,13,0
1,16,14,0
1,16,15,0
1,16,16,0
2,1,1,-7.25329e+07
2,1,2,-5.72929e+07
2,1,3,-2.97506e+07
2,1,4,-3.75324e+06
2,1,5,-619993
2,1,6,-43901.2
2,1,7,-727.042
2,1,8,-46.9288
2,1,9,-4.40036e-06
2,1,10,0.0000000000001559
2,1,11,4.77866e-21
2,1,12,-2.572e-30
2,1,13,-4.57959e-37
2,1,14,-2.16629e-44
2,1,15,-4.93836e-51
2,1,16,0
2,2,1,-1.21432e+08
2,2,2,-8.40732e+08
2,2,3,-2.71545e+08
2,2,4,-4.60591e+07
2,2,5,-9.11732e+06
2,2,6,-654283
2,2,7,-10338.3
2,2,8,-1004.13
2,2,9,0.0002277488071436
2,2,10,0.0000000000800421
2,2,11,-1.19657e-17
2,2,12,-1.96464e-26
2,2,13,6.33658e-33
2,2,14,3.23761e-40
2,2,15,9.16508e-47
2,2,16,0
2,3,1,-8.48261e+08
2,3,2,-3.42617e+09
2,3,3,-3.35683e+09
2,3,4,-5.43425e+08
2,3,5,-6.6519e+07
2,3,6,-6.5755e+06
2,3,7,-133181
2,3,8,-13231.7
2,3,9,0.0399335174465771
2,3,10,0.0000000226296378
2,3,11,0.0000000000000046
2,3,12,1.63951e-22
2,3,13,-3.99252e-29
2,3,14,-2.2422e-36
2,3,15,-7.91268e-43
2,3,16,0
2,4,1,-4.15396e+09
2,4,2,-1.67995e+10
2,4,3,-1.32857e+10
2,4,4,-5.06673e+09
2,4,5,-3.96428e+08
2,4,6,-3.50494e+07
2,4,7,-1.29464e+06
2,4,8,-111927
2,4,9,1.4611876515726974
2,4,10,0.0000055045252836
2,4,11,0.0000000000031458
2,4,12,-4.07542e-19
2,4,13,1.33044e-25
2,4,14,9.19919e-33
2,4,15,4.04982e-39
2,4,16,0
2,5,1,-1.58403e+10
2,5,2,-5.75123e+10
2,5,3,-4.52584e+10
2,5,4,-1.53905e+10
2,5,5,-4.30206e+09
2,5,6,-3.65059e+08
2,5,7,-1.268e+07
2,5,8,-942518
2,5,9,79.9709613948059683
2,5,10,0.0005646787756752
2,5,11,0.0000000015949883
2,5,12,0.0000000000000006
2,5,13,-2.72074e-22
2,5,14,-2.73645e-29
2,5,15,-1.41633e-35
2,5,16,0
2,6,1,-5.69352e+10
2,6,2,-2.25297e+11
2,6,3,-1.57468e+11
2,6,4,-4.2085e+10
2,6,5,-9.06636e+09
2,6,6,-1.77677e+09
2,6,7,-6.15529e+07
2,6,8,-3.66434e+06
2,6,9,1292.0603091702514575
2,6,10,0.0750437098415246
2,6,11,0.0000005290974461
2,6,12,0.0000000000006309
2,6,13,3.17877e-19
2,6,14,5.70571e-26
2,6,15,3.41132e-32
2,6,16,0
2,7,1,-9.16431e+10
2,7,2,-2.84167e+11
2,7,3,-1.9834e+11
2,7,4,-1.59627e+10
2,7,5,-2.79316e+09
2,7,6,311853924.2682247161865234
2,7,7,-3.54494e+08
2,7,8,-6.43027e+06
2,7,9,29640.8376905131699459
2,7,10,2.3453029005450343
2,7,11,0.0000758990531113
2,7,12,0.0000000001550089
2,7,13,0.0000000000000002
2,7,14,-8.57647e-23
2,7,15,-5.78949e-29
2,7,16,0
2,8,1,-1.39994e+11
2,8,2,-4.10261e+11
2,8,3,198035099525.7923583984375
2,8,4,330514766936.163330078125
2,8,5,132501144356.161041259765625
2,8,6,14402453825.5511398315429688
2,8,7,733984400.4258725643157959
2,8,8,-4.97657e+07
2,8,9,515276.2935149967088364
2,8,10,168.6033008225614367
2,8,11,0.0102810255606255
2,8,12,0.0000000963716861
2,8,13,0.0000000000001226
2,8,14,1.50517e-19
2,8,15,7.11962e-26
2,8,16,0
2,9,1,1848708932.6215152740478516
2,9,2,128746682624.5195770263671875
2,9,3,370851823857.884765625
2,9,4,370391443705.02935791015625
2,9,5,122618599154.5279541015625
2,9,6,16465421953.2337837219238281
2,9,7,1251286763.5188963413238525
2,9,8,125688026.135843425989151
2,9,9,280019.3458523271838203
2,9,10,1706.4767940326123608
2,9,11,0.0595518346008173
2,9,12,0.0000004666731135
2,9,13,0.0000000000009242
2,9,14,5.92706e-19
2,9,15,1.36765e-25
2,9,16,0
2,10,1,184211232.440790981054306
2,10,2,5098412389.2874584197998047
2,10,3,22406115600.5281906127929688
2,10,4,24658179814.8476715087890625
2,10,5,9685238878.3244514465332031
2,10,6,1297370336.3530197143554688
2,10,7,95534155.3052166104316711
2,10,8,9635187.519958958029747
2,10,9,289058.9157817959203385
2,10,10,272.3257844781853692
2,10,11,0.4162485465250016
2,10,12,0.0000030111511275
2,10,13,0.0000000000059829
2,10,14,3.40659e-18
2,10,15,5.23577e-24
2,10,16,0
2,11,1,724991.3299545468762517
2,11,2,31211726.3426112458109856
2,11,3,176102521.4035391211509705
2,11,4,311387310.3090324997901917
2,11,5,126940884.7119921147823334
2,11,6,26249550.2221456952393055
2,11,7,1443367.0381318307481706
2,11,8,115050.5827669348218478
2,11,9,3850.531024585135583
2,11,10,61.1504209972405874
2,11,11,0.0248342880117874
2,11,12,0.0000124293584662
2,11,13,0.0000000001531025
2,11,14,9.09084e-17
2,11,15,1.69217e-23
2,11,16,0
2,12,1,434.4104722379203167
2,12,2,27688.1992761805959162
2,12,3,215545.0200237525277771
2,12,4,757191.6970441783778369
2,12,5,425527.4344399236724712
2,12,6,92188.6820203863026109
2,12,7,8633.1036713265166327
2,12,8,818.3058685450803296
2,12,9,8.3857837099844676
2,12,10,0.3005207118310613
2,12,11,0.0018054885718407
2,12,12,0.0000002546265897
2,12,13,0.0000000000588512
2,12,14,3.65568e-17
2,12,15,6.97195e-24
2,12,16,0
2,13,1,0.1774020181941357
2,13,2,12.894690404139908
2,13,3,129.8115475217075243
2,13,4,785.3945890540137498
2,13,5,447.7378193641816893
2,13,6,135.0037428475226022
2,13,7,9.9109937661216705
2,13,8,0.4069708549076646
2,13,9,0.0049905092547882
2,13,10,0.0000864995461516
2,13,11,0.0000004915849355
2,13,12,0.0000000077703052
2,13,13,0.0000000000003187
2,13,14,3.27326e-17
2,13,15,6.05797e-24
2,13,16,0
2,14,1,0.0000120927549111
2,14,2,0.001053301741391
