dim_1,dim_2,dim_3,value
2,16,3,0
2,16,4,0
2,16,5,0
2,16,6,0
2,16,7,0
2,16,8,0
2,16,9,0
2,16,10,0
2,16,11,0
2,16,12,0
2,16,13,0
2,16,14,0
2,16,15,0
2,16,16,0
3,1,1,5190402.1450742790475488
3,1,2,2107.3249718013212259
3,1,3,0.8442026359279879
3,1,4,0.0000284842100738
3,1,5,0.0000000006387648
3,1,6,0.0000000000000236
3,1,7,-3.547e-22
3,1,8,6.11584e-26
3,1,9,8.61244e-35
3,1,10,0
3,1,11,0
3,1,12,0
3,1,13,0
3,1,14,0
3,1,15,0
3,1,16,0
3,2,1,2109.7430877483848235
3,2,2,2053078.1393988870549947
3,2,3,1530.1199848193252819
3,2,4,0.1809703294914155
3,2,5,0.0000107343336278
3,2,6,0.0000000010180858
3,2,7,-2.68151e-17
3,2,8,-1.82368e-21
3,2,9,-1.97824e-29
3,2,10,0
3,2,11,0
3,2,12,0
3,2,13,0
3,2,14,0
3,2,15,0
3,2,16,0
3,3,1,9.5716949521424741
3,3,2,8568.7515244658279698
3,3,3,850094.1586636961437762
3,3,4,417.0604022638382844
3,3,5,0.0603886137742669
3,3,6,0.0000096984481217
3,3,7,0.0000000000099808
3,3,8,-1.01404e-16
3,3,9,1.59527e-24
3,3,10,0
3,3,11,0
3,3,12,0
3,3,13,0
3,3,14,0
3,3,15,0
3,3,16,0
3,4,1,0.0607106618633496
3,4,2,65.9015304724010917
3,4,3,9381.7166799054393778
3,4,4,362378.9806138264830224
3,4,5,151.5417714272761884
3,4,6,0.0380987234691528
3,4,7,0.0000001931065451
3,4,8,0.0000000000095215
3,4,9,-5.08274e-20
3,4,10,0
3,4,11,0
3,4,12,0
3,4,13,0
3,4,14,0
3,4,15,0
3,4,16,0
3,5,1,0.0003396857636094
3,5,2,0.5777959899931611
3,5,3,119.0815232830772601
3,5,4,7884.9941665558008026
3,5,5,151332.9079294455295894
3,5,6,70.5824439136784036
3,5,7,0.0016252652957067
3,5,8,0.0000000871828918
3,5,9,0.0000000000000004
3,5,10,0
3,5,11,0
3,5,12,0
3,5,13,0
3,5,14,0
3,5,15,0
3,5,16,0
3,6,1,0.0000010191384058
3,6,2,0.0045064176989622
3,6,3,1.5931493447319964
3,6,4,167.2969006733338801
3,6,5,6031.4172632890577006
3,6,6,52979.5146027466471423
3,6,7,6.5568922131737901
3,6,8,0.000353630513303
3,6,9,0.0000000000171516
3,6,10,0
3,6,11,0
3,6,12,0
3,6,13,0
3,6,14,0
3,6,15,0
3,6,16,0
3,7,1,0.0000000006761518
3,7,2,0.0000046912402863
3,7,3,0.0045618908119031
3,7,4,0.8691396074545457
3,7,5,52.4980066793474478
3,7,6,914.0727252931113753
3,7,7,10771.5936235702320118
3,7,8,0.6916926616890874
3,7,9,0.0000001489084347
3,7,10,0
3,7,11,0
3,7,12,0
3,7,13,0
3,7,14,0
3,7,15,0
3,7,16,0
3,8,1,0.0000000000002015
3,8,2,0.0000000018310719
3,8,3,0.0000028981251726
3,8,4,0.001576067480285
3,8,5,0.1791497504828943
3,8,6,5.4230988069047381
3,8,7,131.7682195091867356
3,8,8,551.933186344889009
3,8,9,0.0006244579517434
3,8,10,0
3,8,11,0
3,8,12,0
3,8,13,0
3,8,14,0
3,8,15,0
3,8,16,0
3,9,1,-3.97078e-19
3,9,2,0.0000000000000119
3,9,3,0.000000000027143
3,9,4,0.0000000246556106
3,9,5,0.0000082088864591
3,9,6,0.0004797644966031
3,9,7,0.0207953506993871
3,9,8,0.1836043423540124
3,9,9,1.0689042236770205
3,9,10,0
3,9,11,0
3,9,12,0
3,9,13,0
3,9,14,0
3,9,15,0
3,9,16,0
3,10,1,0
3,10,2,0
3,10,3,0
3,10,4,0
3,10,5,0
3,10,6,0
3,10,7,0
3,10,8,0
3,10,9,0
3,10,10,0
3,10,11,0
3,10,12,0
3,10,13,0
3,10,14,0
3,10,15,0
3,10,16,0
3,11,1,0
3,11,2,0
3,11,3,0
3,11,4,0
3,11,5,0
3,11,6,0
3,11,7,0
3,11,8,0
3,11,9,0
3,11,10,0
3,11,11,0
3,11,12,0
3,11,13,0
3,11,14,0
3,11,15,0
3,11,16,0
3,12,1,0
3,12,2,0
3,12,3,0
3,12,4,0
3,12,5,0
3,12,6,0
3,12,7,0
3,12,8,0
3,12,9,0
3,12,10,0
3,12,11,0
3,12,12,0
3,12,13,0
3,12,14,0
3,12,15,0
3,12,16,0
3,13,1,0
3,13,2,0
3,13,3,0
3,13,4,0
3,13,5,0
3,13,6,0
3,13,7,0
3,13,8,0
3,13,9,0
3,13,10,0
3,13,11,0
3,13,12,0
3,13,13,0
3,13,14,0
3,13,15,0
3,13,16,0
3,14,1,0
3,14,2,0
3,14,3,0
3,14,4,0
3,14,5,0
3,14,6,0
3,14,7,0
3,14,8,0
3,14,9,0
3,14,10,0
3,14,11,0
3,14,12,0
3,14,13,0
3,14,14,0
3,14,15,0
3,14,16,0
3,15,1,0
3,15,2,0
3,15,3,0
3,15,4,0
3,15,5,0
3,15,6,0
3,15,7,0
3,15,8,0
3,15,9,0
3,15,10,0
3,15,11,0
3,15,12,0
3,15,13,0
3,15,14,0
3,15,15,0
3,15,16,0
3,16,1,0
3,16,2,0
3,16,3,0
3,16,4,0
3,16,5,0
3,16,6,0
3,16,7,0
3,16,8,0
3,16,9,0
3,16,10,0
3,16,11,0
3,16,12,0
3,16,13,0
3,16,14,0
3,16,15,0
3,16,16,0
4,1,1,110155.2584544043929782
4,1,2,36.5048777965903568
4,1,3,0.0106015162780227
4,1,4,0.0000002128649494
4,1,5,0.0000000000017542
4,1,6,-8.41887e-18
4,1,7,1.91546e-24
4,1,8,-1.71862e-28
4,1,9,4.67439e-38
4,1,10,0
4,1,11,0
4,1,12,0
4,1,13,0
4,1,14,0
4,1,15,0
4,1,16,0
4,2,1,36.5352221278991962
4,2,2,43550.5293252796982415
4,2,3,26.4921316404351579
4,2,4,0.0022712644965417
4,2,5,0.000000080073648
4,2,6,0.0000000000027976
4,2,7,-4.25647e-19
4,2,8,2.54027e-23
4,2,9,-6.30138e-33
4,2,10,0
4,2,11,0
4,2,12,0
4,2,13,0
4,2,14,0
4,2,15,0
4,2,16,0
4,3,1,0.1200645929844272
4,3,2,148.2689960230134716
4,3,3,18019.1986128341741278
4,3,4,7.217321805730875
4,3,5,0.0007567817096657
4,3,6,0.0000000724685698
4,3,7,0.0000000000000274
4,3,8,-1.27875e-18
4,3,9,-3.75875e-28
4,3,10,0
4,3,11,0
4,3,12,0
4,3,13,0
4,3,14,0
4,3,15,0
4,3,16,0
4,4,1,0.0004529697131169
4,4,2,0.8259508575322695
4,4,3,162.2265417644725289
4,4,4,7679.1340236330024709
4,4,5,2.6198428730358088
4,4,6,0.0004780619549037
4,4,7,0.0000000014419673
4,4,8,0.0000000000000262
4,4,9,9.82518e-23
4,4,10,0
4,4,11,0
4,4,12,0
4,4,13,0
4,4,14,0
4,4,15,0
4,4,16,0
4,5,1,0.0000009328529695
4,5,2,0.0043067314148024
4,5,3,1.4912739913637265
4,5,4,136.2843919439936542
4,5,5,3205.1750670210608405
4,5,6,1.2211403420998375
4,5,7,0.0000203940996586
4,5,8,0.0000000006511073
4,5,9,-4.96074e-18
4,5,10,0
4,5,11,0
4,5,12,0
4,5,13,0
4,5,14,0
4,5,15,0
4,5,16,0
4,6,1,0.0000000017341486
4,6,2,0.0000123790961877
4,6,3,0.0118901645413203
4,6,4,2.0979277613200327
4,6,5,104.3272426787768694
4,6,6,1122.3631705317045544
4,6,7,0.1134979550267467
4,6,8,0.0000044351907027
4,6,9,0.0000000000001282
4,6,10,0
4,6,11,0
4,6,12,0
4,6,13,0
4,6,14,0
4,6,15,0
4,6,16,0
4,7,1,0.0000000000008613
4,7,2,0.0000000079823332
4,7,3,0.0000125319442647
4,7,4,0.006489634847343
4,7,5,0.6584933097037743
4,7,6,15.8140924041029276
4,7,7,228.3682852426457544
4,7,8,0.0119624948864196
4,7,9,0.0000000018689332
4,7,10,0
4,7,11,0
4,7,12,0
4,7,13,0
4,7,14,0
4,7,15,0
4,7,16,0
4,8,1,7.60355e-17
4,8,2,0.0000000000023322
4,8,3,0.0000000049310617
4,8,4,0.0000043296898591
4,8,5,0.0013376857313348
4,8,6,0.0680136597679439
4,8,7,2.2798111262298613
4,8,8,11.6901543041024532
4,8,9,0.0000108076103008
4,8,10,0
4,8,11,0
4,8,12,0
4,8,13,0
4,8,14,0
4,8,15,0
4,8,16,0
4,9,1,-1.45038e-22
4,9,2,3.52329e-18
4,9,3,0.0000000000000328
4,9,4,0.0000000000419433
4,9,5,0.0000000225463212
4,9,6,0.0000035813273902
4,9,7,0.0002608111867369
4,9,8,0.0031750825090908
4,9,9,0.0226530460924677
4,9,10,0
4,9,11,0
4,9,12,0
4,9,13,0
4,9,14,0
4,9,15,0
4,9,16,0
4,10,1,0
4,10,2,0
4,10,3,0
4,10,4,0
4,10,5,0
4,10,6,0
4,10,7,0
4,10,8,0
4,10,9,0
4,10,10,0
4,10,11,0
4,10,12,0
4,10,13,0
4,10,14,0
4,10,15,0
4,10,16,0
4,11,1,0
4,11,2,0
4,11,3,0
4,11,4,0
4,11,5,0
4,11,6,0
4,11,7,0
4,11,8,0
4,11,9,0
4,11,10,0
4,11,11,0
4,11,12,0
4,11,13,0
4,11,14,0
4,11,15,0
4,11,16,0
4,12,1,0
4,12,2,0
4,12,3,0
4,12,4,0
4,12,5,0
4,12,6,0
4,12,7,0
4,12,8,0
4,12,9,0
4,12,10,0
4,12,11,0
4,12,12,0
4,12,13,0
4,12,14,0
4,12,15,0
4,12,16,0
4,13,1,0
4,13,2,0
4,13,3,0
4,13,4,0
4,13,5,0
4,13,6,0
4,13,7,0
4,13,8,0
4,13,9,0
4,13,10,0
4,13,11,0
4,13,12,0
4,13,13,0
4,13,14,0
4,13,15,0
4,13,16,0
4,14,1,0
4,14,2,0
4,14,3,0
4,14,4,0
4,14,5,0
4,14,6,0
4,14,7,0
4,14,8,0
4,14,9,0
4,14,10,0
4,14,11,0
4,14,12,0
4,14,13,0
4,14,14,0
4,14,15,0
4,14,16,0
4,15,1,0
4,15,2,0
4,15,3,0
4,15,4,0
4,15,5,0
4,15,6,0
4,15,7,0
4,15,8,0
4,15,9,0
4,15,10,0
4,15,11,0
4,15,12,0
4,15,13,0
4,15,14,0
4,15,15,0
4,15,16,0
4,16,1,0
4,16,2,0
4,16,3,0
4,16,4,0
4,16,5,0
4,16,6,0
4,16,7,0
4,16,8,0
4,16,9,0
4,16,10,0
4,16,11,0
4,16,12,0
4,16,13,0
4,16,14,0
4,16,15,0
4,16,16,0
